Rank,Game,Company,Score,Rating
221,GigaBash 2022 Superhero $11.24 -55% $24.99,Demo,5.62,94% 1.88 K
222,her tears were my light 2022 LGBTQ+ $2.99,,5.62,99% 770
223,Bear and Breakfast 2022 Cartoon $19.99,,5.62,90% 5.16 K
224,Stay Out of the House 2022 Survival Horror $14.99,,5.62,95% 1.73 K
225,Kiwi Clicker - Juiced Up 2022 Casual $4.99,,5.62,94% 1.78 K
226,Prehistoric Kingdom 2022 Dinosaurs $29.99,EA,5.62,89% 5.55 K
227,As Dusk Falls 2022 Choices Matter $29.99,,5.62,91% 3.95 K
228,Ever Seen A Cat? 2022 Cats $4.99,,5.62,99% 834
229,Syberia: The World Before 2022 Adventure $39.99,Demo,5.62,90% 4.77 K
230,Omega Strikers 2022 Action Free,,5.62,84% 23.6 K
231,Urbek City Builder: Prologue 2022 City Builder Free,,5.62,94% 1.7 K
232,Moss: Book II 2022 Exploration $19.99,VR,5.62,99% 725
233,Infernax 2022 Metroidvania $19.99,,5.62,93% 2.14 K
234,Magic Rampage 2022 Platformer Free,,5.62,95% 1.61 K
235,JellyCar Worlds 2022 2D Platformer $7.99,,5.62,97% 1 K
236,Gordian Quest 2022 RPG $19.99,,5.62,89% 5.91 K
2 237,Shinobi Warfare 2022 RPG Free,,5.62,91% 3.33 K
238,Crystal Project 2022 RPG $13.99,Demo,5.61,92% 2.42 K
239,Crysis 3 Remastered 2022 Action $13.49 -55% $29.99,,5.61,88% 7.06 K
240,Kinkoi: Golden Time 2022 Visual Novel $14.99 -50% $29.99,,5.61,98% 802
241,Towards Future 2022 RPG Free,,5.61,99% 750
242,Two Point Campus 2022 Management $5.99 -80% $29.99,,5.61,88% 7.69 K
243,You Will (Not) Remain 2022 Pixel Graphics Free,,5.61,92% 2.51 K
244,Dying Light 2 Stay Human: Reloaded Edition 2022 Open World $17.99 -70% $59.99,,5.61,79% 210 K
245,McPixel 3 2022 Adventure $9.99,,5.61,94% 1.77 K
246,Deducto 2022 Conversation Free,,5.61,90% 4.31 K
247,Dōkyūsei: Bangin' Summer 2022 Dating Sim $7.99 -60% $19.99,,5.61,93% 1.84 K
248,Five Nights At Floppa 2022 Action $2.99,,5.61,95% 1.26 K
249,Sniper Elite 5 2022 Singleplayer $49.99,,5.61,83% 27.9 K
250,The Death | Thần Trùng 2022 Horror $5.99,,5.61,91% 2.97 K
